产品代码,交易板块,债券简称,债券全称,总发行量,发行价,持仓户数上限,票面利率,年付息次数,付息安排,发行模式,发行日期,上市日期,到期日期,起息日期,兑息日期,交易状态,委托数量下限,委托数量上限,交易基数
600151,98,京银宝1号01,“京银宝”1号理财计划01,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600152,98,京银宝1号02,“京银宝”1号理财计划02,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600153,98,京银宝1号03,“京银宝”1号理财计划03,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600154,98,京银宝1号04,“京银宝”1号理财计划04,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600155,98,京银宝1号05,“京银宝”1号理财计划05,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600156,98,京银宝1号06,“京银宝”1号理财计划06,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600157,98,京银宝1号07,“京银宝”1号理财计划07,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600158,98,京银宝1号08,“京银宝”1号理财计划08,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600159,98,京银宝1号09,“京银宝”1号理财计划09,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600160,98,京银宝1号10,“京银宝”1号理财计划10,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600161,98,京银宝1号11,“京银宝”1号理财计划11,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600162,98,京银宝1号12,“京银宝”1号理财计划12,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600163,98,京银宝1号13,“京银宝”1号理财计划13,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600164,98,京银宝1号14,“京银宝”1号理财计划14,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600165,98,京银宝1号15,“京银宝”1号理财计划15,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600166,98,京银宝1号16,“京银宝”1号理财计划16,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600167,98,京银宝1号17,“京银宝”1号理财计划17,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600168,98,京银宝1号18,“京银宝”1号理财计划18,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600169,98,京银宝1号19,“京银宝”1号理财计划19,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600170,98,京银宝1号20,“京银宝”1号理财计划20,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600171,98,京银宝1号21,“京银宝”1号理财计划21,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600172,98,京银宝1号22,“京银宝”1号理财计划22,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600173,98,京银宝1号23,“京银宝”1号理财计划23,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600174,98,京银宝1号24,“京银宝”1号理财计划24,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600175,98,京银宝1号25,“京银宝”1号理财计划25,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600176,98,京银宝1号26,“京银宝”1号理财计划26,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600177,98,京银宝1号27,“京银宝”1号理财计划27,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600178,98,京银宝1号28,“京银宝”1号理财计划28,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600179,98,京银宝1号29,“京银宝”1号理财计划29,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600180,98,京银宝1号30,“京银宝”1号理财计划30,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600181,98,京银宝1号31,“京银宝”1号理财计划31,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600182,98,京银宝1号32,“京银宝”1号理财计划32,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600183,98,京银宝1号33,“京银宝”1号理财计划33,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600184,98,京银宝1号34,“京银宝”1号理财计划34,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600185,98,京银宝1号35,“京银宝”1号理财计划35,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600186,98,京银宝1号36,“京银宝”1号理财计划36,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600187,98,京银宝1号37,“京银宝”1号理财计划37,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600188,98,京银宝1号38,“京银宝”1号理财计划38,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600189,98,京银宝1号39,“京银宝”1号理财计划39,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600190,98,京银宝1号40,“京银宝”1号理财计划40,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600191,98,京银宝1号41,“京银宝”1号理财计划41,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600192,98,京银宝1号42,“京银宝”1号理财计划42,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600193,98,京银宝1号43,“京银宝”1号理财计划43,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600194,98,京银宝1号44,“京银宝”1号理财计划44,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600195,98,京银宝1号45,“京银宝”1号理财计划45,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600196,98,京银宝1号46,“京银宝”1号理财计划46,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600197,98,京银宝1号47,“京银宝”1号理财计划47,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600198,98,京银宝1号48,“京银宝”1号理财计划48,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600199,98,京银宝1号49,“京银宝”1号理财计划49,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
600200,98,京银宝1号50,“京银宝”1号理财计划50,1000000,1,200,0.7,1,,1,20150508,20150513,20151106,20150513,20151106,3,5000,0,1000
